Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2018-08-13,0.0,3.2439999999999998,0.0,4.117,0.0,4.8919999999999995,2.91625,4.182,2.8051666666666666
2018-08-20,0.0,3.2030000000000003,0.0,4.064,0.0,4.869,3.21425,3.6856,2.0596666666666668
2018-08-27,0.0,3.218,0.0,4.07,0.0,4.879,2.03375,2.505,2.5065
2018-09-03,0.0,3.225,0.0,4.101,0.0,4.899,1.55625,2.3202,1.6058333333333332
2018-09-10,38.25,3.549,0.0,4.353,0.0,5.137,1.445,1.615,1.3418333333333334
2018-09-17,100.0,,0.0,4.5969999999999995,34.483333333333334,5.4,1.35875,1.4608,1.3331666666666666
2018-09-24,100.0,,100.0,,100.0,,0.74775,0.915,1.4001666666666666
2018-10-01,100.0,,22.705314009661837,5.206,0.0,5.648000000000001,0.7725,0.828,1.6368333333333334
2018-10-08,0.0,4.404,29.04,5.684,0.0,5.883,1.5215,1.1796,1.3503333333333334
2018-10-15,100.0,,26.96,5.894,43.704824340225244,6.256,1.29,1.3504,0.9915
2018-10-22,0.0,4.952,0.0,6.059,0.0,6.489000000000001,1.82925,1.4686,1.6416666666666666
2018-10-29,0.0,4.979,0.0,6.159,0.0,6.41,1.484,1.5068,2.2525
2018-11-05,0.0,5.077,0.0,6.2330000000000005,0.0,6.506,1.1675,1.8064,1.5406666666666666
2018-11-12,0.0,5.172000000000001,0.0,6.245,0.0,6.521000000000001,1.715,2.0556,1.9171666666666667
2018-11-19,0.0,5.295,0.0,6.279999999999999,0.0,6.529999999999999,1.185,2.3856,2.268666666666667
2018-11-26,100.0,,0.0,6.294,0.0,6.550000000000001,0.78275,3.2406,1.6575
2018-12-03,0.0,5.394,0.0,6.305,0.0,6.507000000000001,1.70125,2.5996,2.63
2018-12-10,0.0,5.35,0.0,6.343999999999999,0.0,6.585000000000001,1.9125,1.705,1.229
2018-12-17,0.0,5.323,100.0,,100.0,,1.64375,1.1768,1.1425
2019-01-07,37.38489871086556,5.411,0.0,6.424,0.0,6.641,0.724,1.5276666666666667,1.981125
2019-01-14,12.594458438287154,5.396,0.0,6.154,0.0,6.253,0.9925,2.8766666666666665,3.9039285714285716
2019-01-21,25.72784810126582,5.418,0.0,5.914,0.0,5.969,0.5266666666666666,2.0061666666666667,4.525875
2019-01-28,24.28104012398829,5.534,0.0,5.892,0.0,5.946,0.9678333333333333,1.9498333333333333,2.468375
2019-02-04,0.0,5.484,0.0,5.867,0.0,5.924,1.8885,1.9048333333333334,1.362125
