Date,ISIN,Maturity Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Volume awarded,182-day Volume awarded,364-day Volume awarded,91-day Tenders per tenor,182-day Tenders per tenor,364-day Tenders per Tenor,91-day Total offers,182-day Total Offers,364-day Total offers,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2015-05-04,PIBL1214H086,2015-08-05,25.0,2.049,16.666666666666664,2.252,45.50408719346049,2.431,6000,5000,2000,8725.0,8750.0,3670.0,8000.0,6000.0,6000.0,1.090625,1.4583333333333333,0.6116666666666667
2015-06-01,PIBL1214I094,2015-09-02,0,2.1420000000000003,0,2.35,70.03560126582279,2.512,8000,6000,1515,18320.0,10933.0,5056.0,8000.0,6000.0,6000.0,2.29,1.8221666666666667,0.8426666666666667
2015-07-06,PIBL1214J100,2015-10-07,0,2.078,0,2.333,50.916666666666664,2.552,8000,6000,2945,26945.0,16500.0,6445.0,8000.0,6000.0,6000.0,3.368125,2.75,1.0741666666666667
2015-08-03,PIBL1214K117,2015-11-04,0,1.999,0,2.183,0,2.306,8000,6000,6000,29067.0,16030.0,13550.0,8000.0,6000.0,6000.0,3.633375,2.671666666666667,2.2583333333333333
2015-09-07,PIBL0315I018,2015-12-09,0,1.505,0,1.526,0,1.921,8000,6000,6000,17410.0,25913.0,9463.0,8000.0,6000.0,6000.0,2.17625,4.318833333333333,1.5771666666666666
2015-10-05,PIBL0615G013,2016-01-06,44.875,1.4909999999999999,0,1.5070000000000001,0,1.8780000000000001,4410,6000,6000,12415.0,12990.0,11727.0,8000.0,6000.0,6000.0,1.551875,2.165,1.9545
2015-11-02,PIBL1215B025,2016-02-03,14.0875,1.773,17.516666666666666,1.806,,,6873,4949,0,9543.0,9999.0,9346.0,8000.0,6000.0,6000.0,1.192875,1.6665,1.5576666666666668
2015-12-07,PIBL0615I020,2016-03-09,46.9375,1.836,31.333333333333336,1.8429999999999997,65.0,1.952,4245,4120,2100,10255.0,8320.0,6100.0,8000.0,6000.0,6000.0,1.281875,1.3866666666666667,1.0166666666666666
2016-01-18,PIBL0316A014,2016-04-20,0,1.6840000000000002,0,1.6420000000000001,0,1.7399999999999998,8000,6000,6000,16262.0,16755.0,10605.0,8000.0,6000.0,6000.0,2.03275,2.7925,1.7675
2016-02-22,PIBL0316B022,2016-05-25,0,1.513,0,1.508,0,1.678,8000,6000,6000,25970.0,16350.0,9660.0,8000.0,6000.0,6000.0,3.24625,2.725,1.61
