"Auction Date","Tenor (in years)","Bid-to-Cover","WAIR","Rejection Rates"
2018-05-22,10,1.3354,"6.3500000000000001E-2",0.592
2018-06-13,7,1.4382,"5.9760000000000001E-2",0.2388
2018-06-19,20,1.42,"6.9790000000000005E-2",0.588
2018-06-26,5,1.4908,NA,1
2018-07-03,10,0.989333333333333,NA,1
2018-07-17,7,0.931,NA,1
2018-07-31,20,1.3704,NA,1
2018-08-14,5,1.63493333333333,"5.9020000000000003E-2",0
2018-08-29,3,1.75246666666667,"5.1360000000000003E-2",0
2018-09-11,10,0.849133333333333,NA,1
2018-09-25,7,0.925333333333333,"7.0849999999999996E-2",0.587175792507205
2018-10-09,5,1.04866666666667,"7.3419999999999999E-2",0.350666666666667
2018-10-23,7,1.6304,NA,1
2018-11-06,10,1.88706666666667,"8.0350000000000005E-2",0
2018-11-20,5,3.25713333333333,"7.0029999999999995E-2",0
2018-11-20,5,3.3984,"7.0029999999999995E-2",0
2018-11-27,7,4.14846666666667,"6.9739999999999996E-2",0
2018-11-27,7,3.59333333333333,"6.9739999999999996E-2",0
2018-12-04,10,3.2926,"6.9750000000000006E-2",0
2018-12-04,10,1.5424,"6.9750000000000006E-2",-0.5424
2018-12-11,7,1.99466666666667,"7.0900000000000005E-2",0
2018-12-11,7,3.59333333333333,"7.0900000000000005E-2",0
2019-01-08,10,2.64945,"6.8290000000000003E-2",0
2019-01-08,10,1.85675,"6.8290000000000003E-2",0
2019-01-22,20,1,"6.7159999999999997E-2",0
2019-01-22,20,1.4003,"6.7159999999999997E-2",0.5
2019-02-12,7,3.34585,"6.087E-2",0
2019-02-12,7,4.72115,"6.087E-2",0.5
2019-03-12,10,2.5839,"6.1960000000000001E-2",0
2019-03-26,7,3.68425,"5.9339999999999997E-2",0
2019-04-10,10,2.3234,"5.9540000000000003E-2",0
2019-04-24,7,1.6564,NA,1
2019-05-15,7,2.5639,"5.7430000000000002E-2",0
2019-05-28,10,3.292,"5.6439999999999997E-2",0
2019-06-11,20,1.3646,"5.1700000000000003E-2",0
2019-07-02,3,3.29555,"4.8030000000000003E-2",0
2019-07-16,7,3.747,"4.845E-2",0
2019-07-30,20,1.4907,"5.015E-2",0
2019-08-13,10,3.2608,"4.1959999999999997E-2",0
2019-08-27,3,2.83245,"3.9609999999999999E-2",0
2019-09-10,7,1.10745,"4.5030000000000001E-2",0.48005
2019-09-24,20,1.536,NA,1
2019-10-01,3,2.53755,"3.9960000000000002E-2",0
2019-10-15,5,3.15935,"4.2270000000000002E-2",-2.15935
2019-10-29,7,2.8436,"4.3220000000000001E-2",0
2019-11-12,10,1.46505,"4.6170000000000003E-2",0
2019-11-26,20,1.40355,"5.3409999999999999E-2",0.38645
2019-12-10,3,2.9833,"3.7420000000000002E-2",0
2020-01-07,3,1.24486666666667,"4.0140000000000002E-2",0.447133333333333
2020-01-21,7,1.757,"4.7320000000000001E-2",0.0932333333333333
2020-02-18,10,2.7863,"4.4089999999999997E-2",0
2020-03-04,5,2.7837,"4.018E-2",0
2020-03-24,7,1.045,NA,1
2020-04-14,7,2.22283333333333,"3.6749999999999998E-2",0
2020-04-28,5,3.65153333333333,"3.0519999999999999E-2",0
2020-05-12,7,3.30363333333333,"2.946E-2",0
2020-05-26,5,3.9474,"2.6759999999999999E-2",0
2020-06-09,7,4.14003333333333,"2.5579999999999999E-2",0
2020-06-23,10,2.68603333333333,"3.1820000000000001E-2",0
2020-07-07,10,1.99033333333333,"2.759E-2",0
2020-08-11,10,1.82416666666667,"2.724E-2",0
2020-08-25,20,1.56403333333333,NA,1
2020-09-08,3,2.9321,"2.2790000000000001E-2",0
2020-09-22,10,1.48356666666667,NA,1
2020-10-20,10,2.2888,"2.7820000000000001E-2",0
2020-11-03,3,2.14756666666667,"2.2239999999999999E-2",0
2020-11-17,10,2.1999,"2.9000000000000001E-2",0
2020-12-01,3,2.28386666666667,"2.1690000000000001E-2",0
2021-01-05,10,3.289,"2.5360000000000001E-2",0
2021-01-19,10,2.7529,"2.7189999999999999E-2",0
2021-02-02,10,2.1015,"3.066E-2",0
2021-02-08,3,9.47276666666667,"2.283E-2",-6.37393333333333
2021-03-09,10,1.67493333333333,"3.7319999999999999E-2",0
2021-03-23,10,1.79733333333333,"4.614E-2",0
2021-04-06,5,2.30791428571429,"3.3009999999999998E-2",0
2021-04-20,7,2.58245714285714,"3.5290000000000002E-2",0
2021-05-04,5,2.16331428571429,"3.295E-2",0
2021-05-18,7,2.40871428571429,"3.678E-2",0
2021-06-01,20,1.76897142857143,"5.0840000000000003E-2",0
2021-06-08,7,2.39097142857143,"3.6850000000000001E-2",0
2021-06-15,10,2.40685714285714,"3.7190000000000001E-2",0
2021-06-22,10,1.85974285714286,"3.1850000000000003E-2",0
2021-06-29,20,1.86471428571429,"4.1869999999999997E-2",0
2021-07-06,7,1.74785714285714,"3.576E-2",0
2021-07-13,20,1.80197142857143,"5.0849999999999999E-2",0.520028571428571
2021-07-21,10,2.08445714285714,"3.9199999999999999E-2",0
2021-07-27,7,1.99308571428571,"3.6510000000000001E-2",0
2021-08-03,10,2.02094285714286,"3.9140000000000001E-2",0
2021-08-10,7,1.81988571428571,"3.6740000000000002E-2",0
2021-08-17,20,1.59854285714286,"4.9860000000000002E-2",0
2021-08-24,20,1.31777142857143,NA,1
2021-08-31,5,2.1762,"2.7459999999999998E-2",0
2021-09-07,7,2.2026,"3.789E-2",0
2021-09-14,10,1.76654285714286,"4.2459999999999998E-2",0
2021-09-21,7,2.17508571428571,"3.8260000000000002E-2",0
2021-09-28,10,2.10254285714286,"4.6890000000000001E-2",0
2021-10-05,7,1.50825714285714,"4.2070000000000003E-2",0.554914285714286
2021-10-12,5,1.60237142857143,"3.576E-2",0
2021-10-19,10,0.9732,"4.8829999999999998E-2",1
2021-10-26,7,1.63471428571429,"4.4679999999999997E-2",0.448142857142857
2021-11-03,5,1.3328,"3.7620000000000001E-2",0
2021-11-09,10,1.58197142857143,"5.1299999999999998E-2",0
2021-11-16,5.5,5.5011,"4.564E-2",-2.78483333333333
2022-01-11,5,2.29722857142857,"4.0120000000000003E-2",0.367828571428571
2022-01-18,10,2.064,"4.8309999999999999E-2",0
2022-01-25,7,1.58922857142857,"4.6890000000000001E-2",0
2022-02-02,5,1.73305714285714,"4.0890000000000003E-2",0
2022-02-08,10,1.45934285714286,"5.0930000000000003E-2",0
2022-02-15,5,6.11466666666667,"4.7870000000000003E-2",-3.02546666666667
2022-03-01,3,1.32171428571429,NA,1
